Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Test cases,OOSP-47,10078,Verify Mandatory Field Validation,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:48 AM,09/Nov/25 3:49 PM,
Test cases,OOSP-46,10077,Verify Adding a New Category,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:47 AM,09/Nov/25 3:49 PM,
Test cases,OOSP-45,10076,Verify Category List Display,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:47 AM,09/Nov/25 3:49 PM,
Test cases,OOSP-44,10075,Verify Navigation to Categories Page,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:45 AM,09/Nov/25 3:49 PM,
Test cases,OOSP-43,10074,Verify Latest Orders Display,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 4:44 AM,09/Nov/25 3:49 PM,
Test cases,OOSP-42,10073,Verify Recent Activity List,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 4:44 AM,09/Nov/25 3:49 PM,
Test cases,OOSP-41,10072,Verify Data Filter in Sales Analytics,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 4:43 AM,09/Nov/25 3:48 PM,
Test cases,OOSP-40,10071,verify Sales Analytics Graph,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:42 AM,09/Nov/25 3:48 PM,
Test cases,OOSP-39,10070,Verify Zoom Functionality on Map,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Low,Pass,Done,06/Nov/25 4:42 AM,09/Nov/25 3:48 PM,
Test cases,OOSP-38,10069,Verify World Map Visibility,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 4:41 AM,09/Nov/25 3:48 PM,
Test cases,OOSP-37,10068,Verify Widget Navigation,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 4:40 AM,09/Nov/25 3:48 PM,
Test cases,OOSP-36,10067,Verify Key Performance Widgets Display,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:35 AM,09/Nov/25 3:48 PM,
Test cases,OOSP-35,10066,Verify the dashboard page loads successfully after login,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:32 AM,09/Nov/25 3:27 PM,
Story,OOSP-34,10065,"As an Admin, I want to create and manage information pages so that customers can access important details (e.g., About Us, Privacy Policy).",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:29 AM,09/Nov/25 12:27 PM,
Story,OOSP-33,10064,"As an Admin, I want to moderate customer reviews so that I can maintain quality and trustworthiness in product feedback.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:28 AM,09/Nov/25 12:27 PM,
Story,OOSP-32,10063,"As an Admin, I want to manage unique identifiers for products (like SKU, UPC, EAN) so that I can track items accurately in the inventory system.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Low,Pass,Done,06/Nov/25 4:28 AM,09/Nov/25 12:27 PM,
Story,OOSP-31,10062,"As an Admin, I want to upload and manage downloadable files so that customers can access digital products after purchase.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Low,Pass,Done,06/Nov/25 4:28 AM,09/Nov/25 12:27 PM,
Story,OOSP-30,10061,"As an Admin, I want to define product options (e.g., size, color) so that customers can choose variants during purchase.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:27 AM,09/Nov/25 12:27 PM,
Story,OOSP-29,10060,"As an Admin, I want to manage product attributes and attribute groups so that I can describe product specifications systematically.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:27 AM,09/Nov/25 12:27 PM,
Story,OOSP-28,10059,"As an Admin, I want to define and manage filters so that customers can narrow down product searches effectively on the storefront.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 4:24 AM,09/Nov/25 12:27 PM,
Story,OOSP-27,10058,"As an Admin, I want to create and manage subscription plans so that I can offer customers recurring purchases or memberships.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 4:23 AM,09/Nov/25 12:27 PM,
Story,OOSP-26,10057,"As an Admin, I want to add, edit, and manage products so that I can maintain an accurate and complete catalog for my customers.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 4:23 AM,09/Nov/25 12:27 PM,
Story,OOSP-25,10056,"As an Admin, I want to create, edit, and manage product categories so that I can organize products effectively within the catalog.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 4:22 AM,09/Nov/25 12:27 PM,
Story,OOSP-24,10055,"As an Admin, I want to view an overview of store performance (orders, sales, customers, and online users) so that I can monitor key business metrics in real time.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Highest,Pass,Done,06/Nov/25 4:17 AM,06/Nov/25 6:27 AM,
